iImage	iCell	X	Y	Cell_area	Cell_FG_Fp_TotInt	Cell_FG_Fp_MeanInt	Cell_GFP_TotInt	Cell_GFP_MeanInt	Cell_FG_Fp_GFP_TotInt	Seg_area	Seg_n	Seg_area_max	Seg_FG_TotInt_Fp	Seg_FG_MeanInt_Fp
1	174	794.0826	368.8854	2094	88.31	0.04	1.82	0	22.84	160	3	127	28.27	0.19
1	175	785.2354	942.5723	1300	151.2	0.12	1.31	0	52.25	426	4	403	81.14	0.14
1	176	805.4269	529.7245	2530	118.5	0.05	0.18	0	44.59	122	5	104	28.62	0.19
1	177	790.3866	725.1681	2160	112.15	0.05	0.7	0	48.9	204	4	155	43.1	0.19
1	178	800.5944	41.02661	1541	124.82	0.08	0.13	0	62.21	184	1	184	59.23	0.32
1	179	809.0151	321.2226	1788	131.57	0.07	-0.07	0	62.22	267	6	122	39.76	0.14
1	180	817.645	779.1401	4040	250.83	0.06	0.15	0	60.96	347	4	175	106.29	0.26
1	181	813.9674	681.5548	1779	95.39	0.05	-0.22	0	39.9	211	2	209	40.63	0.16
1	182	821.6223	568.4078	1366	66.65	0.05	-0.05	0	34.24	108	6	76	16.81	0.16
1	183	827.274	482.5269	1336	80.23	0.06	-0.22	0	46.26	145	2	132	28.79	0.19
1	184	837.8486	358.9125	2378	198.28	0.08	0.25	0	62.8	430	8	185	82.72	0.17
1	185	831.7466	58.82391	1397	168.11	0.12	0.19	0	88.65	265	2	262	99.86	0.26
1	186	842.0824	424.5183	2209	112.85	0.05	-0.02	0	42.07	242	4	211	43.53	0.15
1	187	845.762	510.0081	1609	89.07	0.06	0.37	0	45.77	138	2	131	28.38	0.2
1	188	842.4788	865.7545	1886	82.78	0.04	-0.11	0	37.76	138	3	119	26.79	0.16
1	189	847.2197	623.0323	2230	64.01	0.03	-0.16	0	24.95	138	4	128	19.74	0.12
1	190	853.248	817.9095	2077	120.29	0.06	-0.34	0	44.52	151	3	94	32.37	0.21
1	191	847.2918	968.087	2070	195.91	0.09	-0.18	0	68.57	354	4	346	86.63	0.14
1	192	859.2184	752.5976	2756	364.05	0.13	0.36	0	97.7	862	8	451	212.91	0.19
1	193	852.9553	699.9678	2172	95.22	0.04	-0.29	0	40.26	142	3	128	25.04	0.16
1	194	867.8963	148.7962	1987	156.73	0.08	0.13	0	61.42	186	7	160	50.18	0.2
1	195	858.9689	113.5916	1447	161.37	0.11	2.65	0	39.7	272	3	230	78.74	0.28
1	196	868.5822	40.23758	2980	211.14	0.07	-0.1	0	59.73	265	1	265	88.4	0.33
1	197	853.7376	229.5065	1311	107.18	0.08	0.17	0	60.53	126	2	124	28.78	0.2
1	198	848.8706	282.5072	966	57.46	0.06	-0.06	0	42.42	76	1	76	14.48	0.19
1	199	871.9622	658.5422	1824	153.55	0.08	-0.01	0	69.16	261	2	255	72.96	0.22
1	200	869.2517	186.4285	1867	141.75	0.08	0.17	0	57.93	228	2	219	62.52	0.24
1	201	875.6001	922.1039	3533	233.74	0.07	2.5	0	65.51	317	6	209	71.45	0.19
1	202	880.0269	450.43	1707	87.27	0.05	-0.22	0	46.85	105	4	85	20.41	0.17
1	203	877.6772	252.15	1707	108.1	0.06	-0.02	0	52.45	71	5	26	15.06	0.21
1	204	874.8878	400.8682	1123	165	0.15	0.19	0	105.73	368	3	358	100.47	0.21
1	205	879.5473	848.2865	2028	100.03	0.05	-0.2	0	55.94	89	2	84	18.44	0.18
1	206	886.2473	372.7862	1221	103.07	0.08	-0.04	0	58.91	158	2	148	41.76	0.2
1	207	890.2918	491.6025	2337	203.92	0.09	-0.06	0	72.98	241	5	114	66.12	0.23
1	208	890.6562	602.772	2263	104.44	0.05	-0.1	0	39.24	204	3	190	36.64	0.16
1	209	916.9774	739.1989	3233	359.45	0.11	-0.32	0	81.34	799	4	421	190.67	0.21
1	210	892.9413	99.40341	1056	115.17	0.11	0.36	0	69.66	213	2	112	55	0.26
1	211	906.068	781.061	2015	176.67	0.09	-0.35	0	67.83	345	4	336	79.18	0.16
1	212	898.1873	552.9838	1975	114.85	0.06	-0.26	0	43.54	135	4	126	25.44	0.15
1	213	906.7924	884.2018	2081	114.68	0.06	2.77	0	34.91	131	3	116	32.11	0.24
1	214	912.1146	229.0069	1884	202.98	0.11	1.21	0	66.53	238	3	228	65.77	0.24
1	215	904.6333	65.50991	1110	73.11	0.07	0.08	0	51.07	87	2	85	19.15	0.17
1	216	914.8232	407.4408	1420	112.06	0.08	0	0	53.89	157	4	129	36.62	0.18
1	217	913.591	673.9258	1995	95.54	0.05	-0.39	0	37.7	150	1	150	23.38	0.16
1	218	914.0889	828.9784	1529	89.87	0.06	0.08	0	46.13	113	2	110	26.24	0.2
1	219	918.4114	969.2976	1845	190.95	0.1	-0.24	0	77.54	347	7	308	77.51	0.17
1	220	915.3593	189.3371	1311	107.06	0.08	0.49	0	51.2	123	1	123	31.19	0.25
1	221	945.1357	281.1754	4482	358.16	0.08	0.01	0	106.08	324	12	135	83	0.22
1	222	923.0811	712.5388	1134	106.68	0.09	-0.2	0	72.75	105	5	92	22.8	0.2
1	223	924.2598	128.9382	1505	141.7	0.09	0	0	64.12	327	1	327	79.29	0.24
1	224	938.7923	165.5741	1815	151.42	0.08	0	0	68.23	206	6	88	45.36	0.2
1	225	921.1934	493.1488	1505	108.8	0.07	-0.19	0	53.87	215	4	202	55.17	0.19
1	226	932.0433	435.7384	1709	127.71	0.07	-0.14	0	65.74	142	7	88	30.13	0.19
1	227	933.4639	594.6444	1080	156.35	0.14	1.28	0	60.28	257	5	225	72.21	0.22
1	228	938.8818	555.6557	1464	135.44	0.09	-0.24	0	71.09	190	1	190	63.07	0.33
1	229	947.9609	635.189	2302	108.2	0.05	0.04	0	31.74	172	5	155	42.34	0.18
1	230	945.0776	940.4124	2100	129.47	0.06	-0.41	0	59.89	143	2	113	33.35	0.21
1	231	944.6181	845.8171	1799	104.44	0.06	0.19	0	43.82	164	3	158	32.86	0.16
1	232	954.7896	511.5772	1502	113.5	0.08	-0.14	0	55.15	230	3	222	56.71	0.19
1	233	947.2439	693.8493	783	84.21	0.11	-0.07	0	77.84	141	4	114	35.09	0.2
1	234	961.3458	201.6237	1576	131	0.08	0.44	0	55.48	192	3	170	49.93	0.23
1	235	957.1418	471.5792	1749	89.04	0.05	-0.27	0	47.74	164	3	147	35.78	0.19
1	236	976.4331	774.2171	2487	117.63	0.05	-0.5	0	46.4	68	6	27	10.78	0.16
1	237	975.4428	920.0385	2780	251.73	0.09	1.18	0	55.05	392	3	226	118.3	0.25
1	238	969.6715	390.8512	1848	80.03	0.04	0.08	0	34.3	147	1	147	28.55	0.19
1	239	966.0599	126.2979	1920	123.05	0.06	-0.16	0	46.44	191	1	191	49.09	0.26
1	240	972.9922	817.295	1790	158.54	0.09	-0.32	0	68.99	314	3	291	76.52	0.21
1	241	979.9746	876.4335	1970	106.01	0.05	0.12	0	41.99	167	2	165	38.45	0.2
1	242	979.4628	246.4317	2284	299.11	0.13	1.65	0	77.09	549	5	375	200.6	0.28
1	243	980.6702	681.4927	2259	169.18	0.07	-0.48	0	59.85	264	6	225	69.31	0.18
