@relation segment

@attribute original numeric
@attribute Sobel_filter_0.0 numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Membrane_projections_0_11_1 numeric
@attribute Membrane_projections_1_11_1 numeric
@attribute Membrane_projections_2_11_1 numeric
@attribute Membrane_projections_3_11_1 numeric
@attribute Membrane_projections_4_11_1 numeric
@attribute Membrane_projections_5_11_1 numeric
@attribute class {'class 1','class 2'}

@data
5330,46132.824219,56450.628906,-43882,-1005545600,-5320.969238,-82443.03125,-1.175888,1.1453284972077515E19,5947812352,5517.564941,43462.496094,56483.65625,-46426.214844,-921332992,-8213.896484,-84638.53125,-1.151487,1.2589060692360823E19,5840724992,8164096,67834.25,5667787,368402.46875,6069.418457,29443.375,52647.742188,-51013.902344,-541777536,-16483.015625,-85544.789063,-1.037449,1.2412307601126064E19,4769528320,-551.853516,2438428.75,14966.303711,2015386.125,105158.984375,5445.271484,15042.974609,18137.791016,-14620.614258,-145647616,-510.752747,-28730.476563,-0.958839,1.7023025568284672E17,796352768,72.293457,624.146973,1413842.125,1705.84082,1116623.25,10942.892578,4879.389648,6124.75,3774.04541,48793.898438,843.163025,4497.90918,'class 1'
11299,23027.09375,220428.78125,-234832,-5079856128,-97477.085938,-372186.90625,-0.957546,4.161624982115605E21,75465490432,10863.322266,21596.738281,205468.25,-218348.125,-4615872512,-89760.226563,-346936.03125,-0.955663,3.153255233273492E21,66139389952,5540316.5,136112.859375,6639104,509202.53125,8739.330078,14618.782227,124528.859375,-129408.367188,-2304329728,-48841.867188,-209974.859375,-0.945517,4.34804177780391E20,25963843584,2123.992188,2247543.25,37521.472656,2189141.75,139262.875,6686.485352,11209.818359,24125.369141,-16147.416992,-370025440,4714.275391,-37009.109375,-0.88324,4.5390523490159821E17,1740840832,4176.836914,2052.844727,1463427.75,2532.643799,1128199.875,13625.09082,6631.936523,9195.318359,4993.799805,66319.367188,1401.526367,6890.391113,'class 1'
6395,38061.734375,90859.304688,-50664,-5126193152,25282.712891,-126610.710938,-1.022651,5.922116082150356E19,23071612928,6396.144043,35959.25,88013.09375,-51211.710938,-4706113536,22012.421875,-124435.84375,-1.017322,5.624799341906703E19,21447094272,6974358,174144.390625,6383045,523052.34375,6281.286133,25074.306641,69015.90625,-47987.410156,-2562661888,8033.655762,-104008.476563,-0.984846,2.8907952898184315E19,12553439232,114.85791,2610393,57745.289063,2277955.5,138979.109375,5629.833496,14186.151367,21237.480469,-4151.692383,-424396416,16553.513672,-24856.898438,-0.875286,2.9557619186204672E16,1714822272,766.310547,651.452637,1453657.75,2426.754395,1112336.5,12170.861328,5445.978516,6579.25,4446,54459.785156,780.079224,5807.270508,'class 1'
10058,10064.676758,216288.484375,-198900,-13325094912,-46534.003906,-351266,-0.993212,3.6737168204353073E21,92861587456,9833.961914,9719.230469,201220.75,-184566.015625,-11729934336,-42277.269531,-326854.75,-0.990213,2.758700780894074E21,80984350720,4575361,309860.03125,7474352.5,682046,8558.323242,8235.603516,118358.375,-102857.140625,-5130105344,-14681.162109,-191033.125,-0.963345,3.2902542413568934E20,31100012544,1275.638672,2646882.75,84283.578125,2461087.5,167629.96875,6988.794922,11066.25293,25038.908203,1745.345703,-621011136,26680.714844,-23190.023438,-0.82375,7.576254127538176E15,2487090688,2845.166992,1569.52832,1427725.25,2895.703125,1089472.375,15177.362305,7297.053223,10549.818359,5148.36377,72970.53125,1547.362793,7170.856445,'class 1'
9137,35843.078125,153927.796875,-153020,-5009772544,-48791.632813,-257248.359375,-0.949037,1.01748552706912E21,43454210048,8905.726563,33600.953125,144885.953125,-142019.5625,-4885622784,-42380.152344,-241658.96875,-0.945124,8.009743416645858E20,39712047104,7018430.5,413468.34375,7313016.5,689777.1875,7691.717773,22647.822266,94450.890625,-81388.1875,-3616697344,-8774.782227,-154001.59375,-0.913045,1.397064191273578E20,21090826240,1214.008789,3334962,83185.8125,2663074.75,159263.78125,6419.842773,15081.654297,26905.060547,-760.022949,-720146944,26078.222656,-27598.267578,-0.751518,1.664261709365248E15,2881165568,2485.883789,1271.875,1477965.125,2005.917603,1096565.25,12038.261719,6396.782715,7671.272949,4521.09082,63967.828125,1068.680176,6523,'class 1'
12561,7838.781738,214294.171875,-213154,-8334746112,-72820.8125,-353487.1875,-1.003362,3.5790500303680727E21,78773616640,12060.712891,7284.398438,196933.546875,-192967.34375,-8006565888,-61378.347656,-324556.34375,-0.994229,2.5790915982550043E21,69262655488,4644412.5,1134199.25,8398468,846233.25,9664.420898,7820.463379,105664.570313,-87083.28125,-4974982656,-4192.650391,-169973.90625,-0.922306,2.084205038583352E20,27483426816,2396.291992,3581633.75,82934.265625,2833507.25,182648.234375,8144.205078,13865.743164,26891.617188,5611.075684,-692955392,32084.203125,-20862.050781,-0.736835,8.8259756866666496E16,2803305728,3916.507813,1520.21582,1357296.75,1897.107178,1038930.875,15031.548828,8416.361328,12129.40918,5699.181641,84163.617188,1746.132935,8477.636719,'class 1'
11821,26581.658203,218808.640625,-210384,-13230151680,-54513.835938,-366254.15625,-0.90884,4.3014155886492784E21,97182031872,11492.342773,25842.800781,203447.859375,-195383.1875,-11635317760,-49853.238281,-340913.125,-0.901669,3.2339932341182E21,84715864064,8690734,1210648.625,8364615,840903.6875,9835.000977,21911.347656,121396.273438,-112657.65625,-5109508096,-21649.71875,-203665.59375,-0.842815,4.2047477929726077E20,33129779200,1657.341797,4622420.5,83246.523438,3122830.25,177675.5,8088.318359,18417.738281,32434.046875,-12463.026367,-872493248,17725.132813,-42651.1875,-0.652394,5.6621361317019648E17,3645299968,3404.024414,1746.682617,1461791,951.284241,1068399.625,10732.388672,7824.300781,9957.40918,5072.54541,78243.007813,1557.050293,8146.309082,'class 1'
8977,54510.203125,125508.820313,-97306,-7454515200,1798.134277,-196410.140625,-0.607121,3.719827277063861E20,39286517760,8966.266602,51666.070313,119375.273438,-94317.960938,-6547874304,-659.837463,-187976.078125,-0.610461,3.121330200677481E20,35087376384,14383160,874718,8464545,815299.5,8656.248047,37211.582031,84342.226563,-70848.34375,-2912282880,-6294.841309,-135401.84375,-0.620565,8.36679266538472E19,16668618752,310.018555,5734366,82313.507813,3391112.5,177118.578125,7661.200684,22960.179688,32947.664063,-14085.939453,-681124032,12946.03125,-41117.910156,-0.468973,5.7994531081027584E17,2922909696,1305.065918,995.047363,1561717.875,634.739136,1096809,7230.055176,6839.36084,9018.950195,4685.899902,68393.609375,1494.775635,6764.022461,'class 1'
17573,29157.617188,293706,-347014,5633263616,-190580.578125,-503447.40625,-0.913957,1.1787265675217265E22,97885659136,16846.298828,28199.667969,269914.125,-318352.1875,4311236608,-173349.453125,-463354.90625,-0.903623,8.523697302346123E21,84103168000,11039867,1882750,9351115,964749.75,13390.084961,23894.753906,148855.640625,-171386.84375,-93341184,-85150.515625,-257623.171875,-0.819517,8.737665853917286E20,29746814976,3456.213867,5676810.5,117756.4375,3577433.5,206114.984375,10552.936523,21505.714844,41967.949219,-43723.5625,-264987680,-16466.910156,-70980.21875,-0.63825,5.6811479934162698E18,2971700480,6293.362305,2837.148438,1376643.75,580.752014,1025923.4375,9344.90918,9520.814453,12241.727539,6229.86377,95208.148438,1726.903076,9833.34082,'class 1'
15227,61574.535156,241149.703125,-291598,6054673408,-168298.875,-414897.125,-0.870464,5.170697011024611E21,60810698752,14818.973633,58019.316406,223406.203125,-269960.875,5040883712,-155161.765625,-384759.96875,-0.860109,3.8418345056751877E21,52715339776,18603750,1025914,9594966,933133.375,12672.130859,40600.972656,132374.484375,-158561.1875,1338496000,-88226.867188,-228895.515625,-0.769091,4.974946012527371E20,19787667456,2146.842773,6959691,131447.34375,3879118.75,209647.5625,10136.09668,25984.460938,43657.789063,-48536.851563,30063840,-24895.941406,-72177.765625,-0.494088,5.2666156170703012E18,2235570688,4682.876953,2536.03418,1518105.125,880.035522,1071880.25,6328.655762,8592.458984,10591.75,5855.13623,85924.59375,1450.267944,8934.261719,'class 1'
